Jour;Nb.ecrevisse;Qui;Rep;Ct;;;;;;;
14;5;LN;3;38,48;;;;;;;
14;5;LN;4;38,76;;;;;;;
14;5;LN;5;38,62;;;;;;;
14;5;LN;6;40,12;;;;;;;
20;1;Gus;1;55;;;;;;;
20;1;Gus;2;55;;;;;;;
20;1;Gus;3;55;;;;;;;
20;1;Gus;4;55;;;;;;;
20;1;Gus;5;55;;;;;;;
20;1;Gus;6;55;;;;;;;
20;1;LN;1;55;;;;;;;
20;1;LN;2;55;;;;;;;
20;1;LN;3;38,22;;;;;;;
20;1;LN;4;55;;;;;;;
20;1;LN;5;55;;;;;;;
20;1;LN;6;55;;;;;;;
20;3;Gus;1;55;;;;;;;
20;3;Gus;2;50;;;;;;;
20;3;Gus;3;55;;;;;;;
20;3;Gus;4;41,34;;;;;;;
20;3;Gus;5;55;;;;;;;
20;3;Gus;6;55;;;;;;;
20;3;LN;1;49,35;;;;;;;
20;3;LN;2;55;;;;;;;
20;3;LN;3;55;;;;;;;
20;3;LN;4;55;;;;;;;
20;3;LN;5;55;;;;;;;
20;3;LN;6;55;;;;;;;
20;5;Gus;1;38,81;;;;;;;
20;5;Gus;2;39,68;;;;;;;
20;5;Gus;3;55;;;;;;;
20;5;Gus;4;39,11;;;;;;;
20;5;Gus;5;38,22;;;;;;;
20;5;Gus;6;38,73;;;;;;;
20;5;LN;1;55;;;;;;;
20;5;LN;2;55;;;;;;;
20;5;LN;3;55;;;;;;;
20;5;LN;4;55;;;;;;;
20;5;LN;5;39,95;;;;;;;
20;5;LN;6;55;;;;;;;
